cluster,names,scores,logfoldchanges,pvals,pvals_adj
2,HLA-DPA1,20.890062,4.4817076,6.593291772878725e-97,6.689883497351399e-93
2,HLA-DRA,20.786917,4.4611526,5.684708593840821e-96,3.845326383160393e-92
2,HLA-DRB1,20.613161,4.1779957,2.091205955279656e-94,1.0609210612622514e-90
2,FCER1A,20.199928,7.3358693,9.80392911900053e-91,3.979022672237555e-87
2,CST3,20.039442,4.0753245,2.495443548312329e-89,8.44000598765035e-86
2,HLA-DQB1,19.990036,4.191118,6.72462052254894e-89,1.7314009442482375e-85
2,CD74,19.989292,3.7826931,6.825608610844084e-89,1.7314009442482375e-85
2,HLA-DRB5,19.765347,3.6647797,5.919021150939909e-87,1.3346077357335951e-83
2,HLA-DQA2,19.584164,3.8460848,2.1104038215672965e-85,4.2826424751065145e-82
2,HLA-DMA,19.430714,3.1976373,4.244260077900756e-84,7.829888160076367e-81
2,HLA-DQA1,19.356186,4.301499,1.8078517743026556e-83,3.0572280046603163e-80
2,CLEC10A,18.836206,6.399031,3.81333072664881e-79,5.952609264298792e-76
2,SAMHD1,18.314192,2.248653,6.376594388519012e-75,9.242873566158308e-72
2,CD1C,18.158274,5.89663,1.1044199585125119e-73,1.4941329478729603e-70
2,GSN,18.070528,3.4714966,5.439062063554579e-73,6.898430403482068e-70
2,HLA-DMB,18.060154,2.8973825,6.563977520211475e-73,7.83545857750891e-70
2,PLD4,17.48902,3.8120837,1.737198335758617e-68,1.9584981015305344e-65
2,CCDC88A,17.408804,2.810344,7.0747600819274955e-68,7.556216123292351e-65
2,CTSZ,17.358849,2.5265589,1.6907976064148378e-67,1.7155677913488152e-64
2,ANXA2,17.346529,2.4238522,2.0952486575573363e-67,2.0247086194195725e-64
2,CIITA,17.082378,2.9890726,2.007687309035974e-65,1.8519090255575916e-62
2,ACTB,16.483149,1.2270759,4.8493052505430844e-61,4.278563106490035e-58
2,YBX1,16.323929,1.1968254,6.670203420995642e-60,5.639934917594358e-57
2,H2AFY,16.301744,2.0470111,9.59164717541759e-60,7.785731845229966e-57
3,S100A8,52.397625,6.2735248,0.0,0.0
3,S100A12,50.095608,5.0128193,0.0,0.0
3,S100A6,49.361694,2.6937351,0.0,0.0
3,S100A9,48.794144,5.8489475,0.0,0.0
3,MNDA,48.78558,4.082667,0.0,0.0
3,FOS,48.73062,2.7998412,0.0,0.0
3,VCAN,47.228886,4.313569,0.0,0.0
3,DUSP1,46.39688,2.6790342,0.0,0.0
3,RGS2,46.10191,3.536762,0.0,0.0
3,LYZ,45.928802,4.897022,0.0,0.0
3,FTL,45.698193,2.446325,0.0,0.0
3,AC020656.1,45.628876,3.5468566,0.0,0.0
3,SRGN,45.214073,2.6465456,0.0,0.0
3,S100A4,44.298706,2.378129,0.0,0.0
3,FCN1,44.27777,3.9125757,0.0,0.0
3,CTSS,44.15975,3.4691536,0.0,0.0
3,TSPO,43.74661,2.3059864,0.0,0.0
3,CSTA,43.052162,3.233612,0.0,0.0
3,CD14,42.93324,3.518872,0.0,0.0
3,CSF3R,41.811382,3.157264,0.0,0.0
3,TYROBP,41.521946,3.239338,0.0,0.0
3,MS4A6A,41.482483,3.2782848,0.0,0.0
